id,item,group,type,position,NP1,sent,NP2,main verb,sentence,question,ans1,ans2,ans3,ans4,target_ver,target_nonver,distractor_ver,distractor_nonver,condition
216,37,X,sem,subject,The songwriter,ordered,the pianist,to play the new song.,The songwriter ordered the pianist to play the new song.,Who ordered?,the songwriter,the songwriters,the pianist,the pianists,1,2,3,4,sem_subject
217,38,X,unrel,modifier,The barber,of,the comedian,cleaned up the mess.,The barber of the comedian cleaned up the mess.,Who cleaned up?,the comedian,the comedians,the barber,the barbers,3,4,1,2,unrel_modifier
218,39,X,sem,subject,The sculptor,urged,the illustrator,to revise the latest work.,The sculptor urged the illustrator to revise the latest work.,Who urged?,the sculptor,the sculptors,the illustrator,the illustrators,1,2,3,4,sem_subject
219,40,X,sem,modifier,The replacement,of,the instructors,drove very cautiously towards home.,The replacement of the instructors drove very cautiously towards home.,Who drove?,the instructor,the instructors,the replacement,the replacements,3,4,1,2,sem_modifier
220,41,X,unrel,subject,The admiral,sought,the bartender,for advice about the plans.,The admiral sought the bartender for advice about the plans.,Who sought advice?,the admiral,the admirals,the bartender,the bartenders,1,2,3,4,unrel_subject
221,42,X,unrel,subject,The camper,encouraged,the pupils,to jump in the pool.,The camper encouraged the pupils to jump in the pool.,Who encouraged?,the pupil,the pupils,the camper,the campers,3,4,1,2,unrel_subject
222,43,X,unrel,modifier,The sisters,of,the owner,encouraged him to dance.,The sisters of the owner encouraged him to dance.,Who was encouraged?,the owner,the owners,the sister,the sisters,1,2,3,4,unrel_modifier
223,44,X,sem,modifier,The partner,of,the detective,told him not to shout.,The partner of the detective told him not to shout.,Who was shouting?,the detective,the detectives,the partner,the partners,1,2,3,4,sem_modifier
224,45,X,unrel,modifier,The relatives,of,the actress,were distraught upon her death.,The relatives of the actress were distraught upon her death.,Who died?,the actress,the actresses,the relative,the relatives,1,2,3,4,unrel_modifier
225,46,X,sem,modifier,The secretaries,of,the dean,were stressed about his recent proposal.,The secretaries of the dean were stressed about his recent proposal.,Who proposed?,the dean,the deans,the secretary,the secretaries,1,2,3,4,sem_modifier
226,47,X,sem,modifier,The collaborators,of,the academic,were furious because of the mistake she made.,The collaborators of the academic were furious because of the mistake she made.,Who made a mistake?,the academic,the academics,the collaborator,the collaborators,2,1,4,3,sem_modifier
227,48,X,sem,modifier,The associates,of,the lecturer,waited impatiently for his talk to end.,The associates of the lecturer waited impatiently for his talk to end.,Who gave a talk?,the associate,the associates,the lecturer,the lecturers,3,4,1,2,sem_modifier
228,49,X,unrel,subject,The shaman,liked that,the gargoyle,grew fast last year.,The shaman liked that the gargoyle grew fast last year.,Who liked?,the gargoyle,the gargoyles,the shaman,the shamans,3,4,1,2,unrel_subject
229,50,X,unrel,subject,The boogeyman,requested that,the hackers,help with the problem.,The boogeyman requested that the hackers help with the problem.,Who requested?,the boogeyman,the boogeymen,the hacker,the hackers,1,2,3,4,unrel_subject
230,51,X,unrel,subject,The pegasus,scolded,the mummies,for running in the courthouse.,The pegasus scolded the mummies for running in the courthouse.,Who scolded?,the pegasus,the pegasuses,the mummy,the mummies,1,2,3,4,unrel_subject
231,52,X,unrel,subject,The bigfoot,instructed,the technician,to fix the gas leak.,The bigfoot instructed the technician to fix the gas leak.,Who instructed?,the bigfoot,the bigfoots,the technician,the technicians,1,2,3,4,unrel_subject
232,53,X,sem,subject,The martian,challenged,the astronaut,to drink excessively.,The martian challenged the astronaut to drink excessively.,Who challenged?,the martian,the martians,the astronaut,the astronauts,1,2,3,4,sem_subject
233,54,X,unrel,subject,The griffin,reminded,the receptionist,to call the guest.,The griffin reminded the receptionist to call the guest.,Who reminded?,the griffin,the griffins,the receptionist,the receptionists,1,2,3,4,unrel_subject
234,55,X,sem,modifier,The skippers,of,the pirate,rowed tirelessly as he shouted.,The skippers of the pirate rowed tirelessly as he yelled.,Who yelled?,the pirate,the pirates,the skipper,the skippers,1,2,3,4,sem_modifier
235,56,X,sem,modifier,The guitarists,of,the ghoul,gossiped about him after the concert.,The guitarists of the ghoul gossiped about him after the concert.,Who was gossiped about?,the guitarist,the guitarists,the ghoul,the ghouls,3,4,1,2,sem_modifier
236,57,X,unrel,modifier,The godfather,of,the samurai,visited him right after the hearing.,The godfather of the samurai visited him right after the hearing.,Who was visited?,the godfather,the godfathers,the samurai,the samurais,3,4,1,2,unrel_modifier
237,58,X,unrel,modifier,The protector,of,the duchess,watched her ride the horse.,The protector of the duchess watched her ride the horse.,Who rode the horse?,the protector,the protectors,the duchess,the duchesses,3,4,1,2,unrel_modifier
238,59,X,unrel,modifier,The aunt,of,the prince,disagreed with him.,The aunt of the prince disagreed with him.,Who was disagreed with?,the aunt,the aunts,the prince,the princes,1,2,3,4,unrel_modifier
239,60,X,sem,modifier,The guardian,of,the phoenix,fell asleep watching him.,The guardian of the phoenix fell asleep watching him.,Who was watched?,the guardian,the guardians,the phoenix,the phoenixes,3,4,1,2,sem_modifier
240,61,X,sem,modifier,The coaches,of,the players,were disappointed by their performance.,The coaches of the players were disappointed by their performance.,Who was disappointed?,the player,the players,the coach,the coaches,4,3,2,1,sem_modifier
241,62,X,sem,modifier,The photographers,of,the models,slept before the fashion show.,The photographers of the models slept before the fashion show.,Who slept?,the model,the models,the photographer,the photographers,4,3,2,1,sem_modifier
242,63,X,sem,modifier,The producers,of,the filmmaker,were frustrated.,The producers of the filmmaker were frustrated.,Who was frustrated?,the producer,the producers,the filmmaker,the filmmakers,2,1,4,3,sem_modifier
243,64,X,sem,modifier,The husbands,of,the wives,talked about the divorce.,The husbands of the wives talked about the divorce.,Who talked about the divorce?,the husband,the husbands,the wife,the wives,2,1,4,3,sem_modifier
244,65,X,unrel,subject,The chefs,loved that,the vikings,danced all night long.,The chefs loved that the vikings danced all night long.,Who loved?,the viking,the vikings,the chef,the chefs,4,3,2,1,unrel_subject
245,66,X,unrel,subject,The singers,found,the healer,lying down before the show.,The singers found the healer lying down before the show.,Who found?,the singer,the singers,the healer,the healers,2,1,4,3,unrel_subject
246,67,X,unrel,subject,The bats,complained about,the goat,running away when it got warm.,The bats complained about the goat running away when it got warm.,Who complained?,the bat,the bats,the goat,the goats,2,1,4,3,unrel_subject
247,68,X,unrel,subject,The surgeons,recommended that,the magician,rest after his injury.,The surgeons recommended that the magician rest after his injury.,Who recommended?,the magician,the magicians,the surgeon,the surgeons,4,3,2,1,unrel_subject
