id,item,group,attraction_type,position,NP1,sent,NP2,main verb,sentence,question,ans1,ans2,ans3,ans4,target_ver,target_nonver,distractor_ver,distractor_nonver,condition,,,,,,,,,
01,1,A,baseline,subject,The ghost,reported that,the teacher,disappeared mysteriously after last night.,The ghost reported that the teacher disappeared mysteriously after last night.,Who disappeared?,the ghost,the ghosts,the teacher,the teachers,3,4,1,2,baseline_subject,,,,,,,,,2
02,1,B,baseline,modifier,The teacher,of,the ghost,disappeared mysteriously after last night.,The teacher of the ghost disappeared mysteriously after last night.,Who disappeared?,the teacher,the teachers,the ghost,the ghosts,1,2,3,4,baseline_modifier,,,,,,,,,4
03,1,C,semantic,subject,The student,reported that,the teacher,disappeared mysteriously after last night.,The student reported that the teacher disappeared mysteriously after last night.,Who disappeared?,the student,the students,the teacher,the teachers,3,4,1,2,semantic_subject,,,,,,,,,2
04,1,D,semantic,modifier,The teacher,of,the student,disappeared mysteriously after last night.,The teacher of the student disappeared mysteriously after last night.,Who disappeared?,the teacher,the teachers,the student,the students,1,2,3,4,semantic_modifier,,,,,,,,,4
05,1,E,morphological,subject,The ghosts,reported that,the teacher,disappeared mysteriously after last night.,The ghosts reported that the teacher disappeared mysteriously after last night.,Who disappeared?,the ghost,the ghosts,the teacher,the teachers,3,4,1,2,morphological_subject,,,,,,,,,1
06,1,F,morphological,modifier,The teacher,of,the ghosts,disappeared mysteriously after last night.,The teacher of the ghosts disappeared mysteriously after last night.,Who disappeared?,the teacher,the teachers,the ghost,the ghosts,1,2,3,4,morphological_modifier,,,,,,,,,3
07,2,B,baseline,subject,The robot,heard that,the instructor,retired just after the tournament.,The robot heard that the instructor retired just after the tournament.,Who retired?,the robot,the robots,the instructor,the instructors,3,4,1,2,baseline_subject,,,,,,,,,
08,2,C,baseline,modifier,The instructor,of,the robot,retired just after the tournament.,The instructor of the robot retired just after the tournament.,Who retired?,the instructor,the instructors,the robot,the robots,1,2,3,4,baseline_modifier,,,,,,,,,
09,2,D,semantic,subject,The trainer,heard that,the instructor,retired just after the tournament.,The trainer heard that the instructor retired just after the tournament.,Who retired?,the trainer,the trainers,the instructor,the instructors,3,4,1,2,semantic_subject,,,,,,,,,
10,2,E,semantic,modifier,The instructor,of,the trainer,retired just after the tournament.,The instructor of the trainer retired just after the tournament.,Who retired?,the instructor,the instructors,the trainer,the trainers,1,2,3,4,semantic_modifier,,,,,,,,,
11,2,F,morphological,subject,The robots,heard that,the instructor,retired just after the tournament.,The robots heard that the instructor retired just after the tournament.,Who retired?,the robot,the robots,the instructor,the instructors,3,4,1,2,morphological_subject,,,,,,,,,
12,2,A,morphological,modifier,The instructor,of,the robots,retired just after the tournament.,The instructor of the robots retired just after the tournament.,Who retired?,the instructor,the instructors,the robot,the robots,1,2,3,4,morphological_modifier,,,,,,,,,
13,3,C,baseline,subject,The angel,said that,the doctor,collapsed suddenly in the ER.,The angel said that the doctor collapsed suddenly in the ER.,Who collapsed?,the angel,the angels,the doctor,the doctors,3,4,1,2,baseline_subject,,,,,,,,,
